object_id,f_min_label_N,f_max_label_N,label_source,is_measured,value_basis,evidence,f_max_basis,f_min_semantics,f_min_single_N,f_max_semantics,f_max_total_N,conversion_rule
FRA019,0.5,2.4,同型转移(密封零食袋),0,近似转移,"文献参照: 单片薯片三点弯曲断裂0.55-2.86N, 压入测试6.1-8.5N(Xu&Kerr2012 LWT DOI:10.1016/j.lwt.2012.02.019); 整袋受压分布不同 | Mao et al. 2024, Advanced Intelligent Systems 6(8) DOI:10.1002/aisy.202400175, 仿生光纤触觉指实测最大损伤力; https://onlinelibrary.wiley.com/doi/full/10.1002/aisy.202400175; 袋装受力经袋分布, 取单片阈值为保守值","文献近似(单片薯片损伤力,密封袋近似)",两指法向力之和,0.25,单指法向力(压头加载),4.8,F_total = 2×F_single (SAFETYVTLA默认反算)
FRA020,2.0,,同型转移(薄脆饼干盒),0,近似转移,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA021,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.0N(近似转移(脆零食盒)),[0821删] 原估算值2.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA022,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.5N(近似转移(密封零食袋)),[0821删] 原估算值1.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA023,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.25N(近似转移(脆皮烘焙)),[0821删] 原估算值0.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA024,0.5,42.0,ExpForce同型实测(Large brown egg; f_min=0.5N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | 鸡蛋壳平板压缩破碎力42-51N: De Ketelaere2002 Br Poult Sci 43:238; Altuntas&Sekeroglu2008 DOI:10.1111/j.1745-4530.2008.00263.x; Sutanto2025 Commun Phys 8:182 DOI:10.1038/s42005-025-02087-0 | 参照: 软指夹爪以0.12N成功夹持鸡蛋(Mun2024 SORB DOI:10.1089/soro.2023.0068, 安全下界); FORTE软指0-8N范围抓薯片/树莓98.6%成功(arXiv:2506.18960)",文献实测(平板压缩破碎力下限),两指法向力之和,0.25,单指法向力(平板压缩),84,F_total = 2×F_single (SAFETYVTLA默认反算)
FRA025,0.5,,同型转移(蛋类),0,近似转移,"ExpForce同类参照: Large brown egg 0.5N (皮蛋) | 文献参照: 鸡蛋壳压缩42-51N(见FRA024来源), 皮蛋壳未单独实测",[0821删] 原估算值1.0N(两指法向力之和(估算)),两指法向力之和,0.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA026,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.5N(近似转移(薄壳)),[0821删] 原估算值1.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA027,,,未找到实测,0,未找到实测,文献参照: 干面条单根三点弯曲断裂0.30-0.73N(Cai2023 Foods 12:55 DOI:10.3390/foods12010055); 整束未实测 | [0821删] 原近似转移值0.25N(近似转移(脆性捆扎物)),[0821删] 原估算值0.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA028,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.5N(近似转移(脆性文具)),[0821删] 原估算值1.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA029,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.5N(近似转移(脆性柱体)),[0821删] 原估算值1.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA030,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.5N(近似转移(石膏脆性)),[0821删] 原估算值1.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA031,1.5,,同型转移(玻璃杯),0,近似转移,ExpForce同类参照: Glass tumbler 1.5N,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA032,0.75,,同型转移(玻璃罐),0,近似转移,ExpForce同类参照: Blueberry jam jar (Empty) 0.75N,[0821删] 原估算值1.5N(两指法向力之和(估算)),两指法向力之和,0.375,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA033,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.0N(近似转移(玻璃烛台)),[0821删] 原估算值2.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA034,1.5,,同型转移(陶瓷咖啡杯),0,近似转移,ExpForce同类参照: Ceramic mug 1.5N,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA035,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷碗)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA036,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷碟)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA037,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷餐具)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA038,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷摆件)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA039,0.25,,ExpForce同型实测(Medium plastic cup; f_min=0.25N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | 文献参照: 一次性塑料杯抗压PP/PS/PET 26-975N, PLA 26-151N(同上, 顶压语义) | 塑料杯侧捏溃力: 未找到文献实测值(仅有顶压堆叠强度26-975N,语义不符)",[0821删] 原估算值0.5N(两指法向力之和(估算)),两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA040,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.25N(近似转移(薄壁塑料盒)),[0821删] 原估算值0.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA041,2.0,,同型转移(曲奇盒),0,近似转移,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA042,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.0N(近似转移(威化条装)),[0821删] 原估算值2.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA043,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.5N(近似转移(密封零食袋)),[0821删] 原估算值1.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA044,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.25N(近似转移(脆性零食)),[0821删] 原估算值0.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA045,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.0N(近似转移(月饼糕点)),[0821删] 原估算值2.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA046,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.0N(近似转移(油炸脆点)),[0821删] 原估算值2.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA047,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.25N(近似转移(酥性饼干)),[0821删] 原估算值0.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA048,1.0,,ExpForce同型实测(Pocky snack box (Long-edge orientation); f_min=1.0N),0,同型实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力),[0821删] 原估算值2.0N(两指法向力之和(估算)),两指法向力之和,0.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA049,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.25N(近似转移(膨化脆糖)),[0821删] 原估算值0.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA050,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.25N(近似转移(糖果)),[0821删] 原估算值0.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA051,0.5,,同型转移(蛋类),0,近似转移,"ExpForce同类参照: Large brown egg 0.5N (鸭蛋更大) | 文献参照: 鸡蛋壳压缩42-51N, 鸭蛋壳未单独实测",[0821删] 原估算值1.0N(两指法向力之和(估算)),两指法向力之和,0.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA052,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.25N(近似转移(干燥脆物)),[0821删] 原估算值0.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA053,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.25N(近似转移(干燥脆物)),[0821删] 原估算值0.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA054,,,未找到实测,0,未找到实测,文献参照: 同FRA027干面条单根断裂力; 粉丝整捆未实测 | [0821删] 原近似转移值0.25N(近似转移(脆性捆扎物)),[0821删] 原估算值0.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA055,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.25N(近似转移(干燥脆物)),[0821删] 原估算值0.5N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA056,0.5,,"同型转移(蛋壳,同型)",0,近似转移,"ExpForce同类参照: Large brown egg 0.5N (空壳更脆) | 文献参照: 掏空蛋壳无可核验实测值(988N为模拟值, 不采用)",[0821删] 原估算值1.0N(两指法向力之和(估算)),两指法向力之和,0.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA057,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值0.5N(近似转移(脆性文具)),[0821删] 原估算值1.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA058,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷餐具)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA059,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(陶瓷片)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
FRA060,,,未找到实测,0,未找到实测, | [0821删] 原近似转移值1.5N(近似转移(玻璃罐装)),[0821删] 原估算值3.0N(两指法向力之和(估算)),,,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF001,1.0,194.0,ExpForce同型实测(Banana; f_min=1.0N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | Jahanbakhshi et al. 2020, Int J Fruit Sci 20(3), 香蕉准静态压缩; https://www.tandfonline.com/doi/full/10.1080/15538362.2019.1633723",文献实测(准静态压缩压伤最大力),两指法向力之和,0.5,单指法向力(平板压缩),388,F_total = 2×F_single (SAFETYVTLA默认反算)
SOF002,1.5,163.0,ExpForce同型实测(Orange 1 (Orange 2 2.0/CaraCara 1.5); f_min=1.5N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | 脐橙挤压损伤力学特性, 农业工程学报, 横向163.46N/纵向196.15N; http://www.tcsae.org/cn/article/id/687bd121-9deb-4e40-8783-d19f0865852c",文献实测(横向极限载荷),两指法向力之和,0.75,单指法向力(平板压缩),326,F_total = 2×F_single (SAFETYVTLA默认反算)
SOF003,2.0,,ExpForce同型实测(Roma tomato 1 (Roma2 2.0); f_min=2.0N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | 文献参照: 樱桃番茄挤压破裂21-64N(熊征2020, 品种差异大); 苹果损伤阈值40N/压伤54N(Zhu 2022; Wang 2024 Processes 12:543)",[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF004,0.5,0.6,ExpForce同型实测(Strawberry 1 (large 1.0); f_min=0.5N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | 钟燚等 2025, 农业工程学报41(21), 草莓夹持0.6-1N损伤率55%; http://tcsae.org/article/doi/10.11975/j.issn.1002-6819.202411048 | 交叉验证: Mao2024测草莓损伤0.5N, 与钟燚0.6N一致","文献实测(夹持损伤阈值,单指/合力未确认)",两指法向力之和,0.25,"夹持法向力(单指/合力未确认,保守按合力)",0.6,F_single = F_total/2 (SAFETYVTLA默认)
SOF005,0.5,4.0,"同型转移(葡萄,同型)",0,近似转移,"ExpForce同类参照: Red/Green grapes 0.5N (单粒) | Inouye et al. 2013, HortScience 48(9), 葡萄整粒最大力4.0-13.9N; https://journals.ashs.org/hortsci/view/journals/hortsci/48/9/article-p1130.xml",文献实测(整粒压缩破裂力下限),两指法向力之和,0.25,单指法向力(平板压缩),8,F_total = 2×F_single (SAFETYVTLA默认反算)
SOF006,1.5,,近似转移(猕猴桃),0,估算,,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF007,1.5,10.0,近似转移(牛油果),0,估算,"Australian Avocado Industry 2018, Talking Avocados 28(4), 10N轻度挤压压伤; https://avocado.org.au/public-articles/tav28n4_bruising/",文献实测(拇指挤压可见压伤),两指法向力之和,0.75,单指法向力(单点按压),20,F_total = 2×F_single (SAFETYVTLA默认反算)
SOF008,0.5,50.57,ExpForce同型实测(Lemon (Large lemon 0.75); f_min=0.5N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | Jentzsch et al. 2022, Frontiers in Materials 9, 柠檬准静态压缩; https://www.frontiersin.org/journals/materials/articles/10.3389/fmats.2022.979151/full",文献实测(压缩50%形变最大力),两指法向力之和,0.25,单指法向力(平板压缩),101.14,F_total = 2×F_single (SAFETYVTLA默认反算)
SOF009,0.5,21.42,ExpForce同型实测(Red grape tomato 1; f_min=0.5N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | 熊征等 2020, 现代农业装备41(3), 樱桃番茄纵向21.42N/横向37.59N; https://www.aeeisp.com/xdnyzb/cn/article/pdf/preview/ccd641a3-9bc1-4640-b72a-da69cf956a52.pdf",文献实测(纵向挤压破裂力),两指法向力之和,0.25,单指法向力(平板挤压),42.84,F_total = 2×F_single (SAFETYVTLA默认反算)
SOF010,1.5,,近似转移(桃),0,估算,,[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF011,2.0,,近似转移(玉米),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF012,2.0,,近似转移(西兰花),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF013,1.0,,"同型转移(彩椒,同型)",0,近似转移,ExpForce同类参照: Mini bell peppers 0.5N/Yellow 1.0N | 文献参照: 96份甜椒资源破裂力1.26-38.37N/坚实度15-35N(中华农业科学2025); https://www.chinaagrisci.com/EN/10.3864/j.issn.0578-1752.2025.14.011,[0821删] 原估算值2.0N(两指法向力之和(估算)),两指法向力之和,0.5,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF014,0.5,,近似转移(蘑菇),0,估算,,[0821删] 原估算值1.0N(两指法向力之和(估算)),两指法向力之和,0.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF015,0.25,,近似转移(软面包),0,估算,,[0821删] 原估算值0.5N(两指法向力之和(估算)),两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF016,0.25,,近似转移(贝果),0,估算,,[0821删] 原估算值0.5N(两指法向力之和(估算)),两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF017,0.25,,近似转移(纸杯蛋糕),0,估算,,[0821删] 原估算值0.5N(两指法向力之和(估算)),两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF018,0.25,,近似转移(馒头),0,估算,,[0821删] 原估算值0.5N(两指法向力之和(估算)),两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF019,0.25,,近似转移(麻薯),0,估算,,[0821删] 原估算值0.5N(两指法向力之和(估算)),两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF020,0.25,,近似转移(毛巾),0,估算,,[0821删] 原估算值0.5N(两指法向力之和(估算)),两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF023,0.25,,近似转移(毛绒),0,估算,,[0821删] 原估算值0.5N(两指法向力之和(估算)),两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF024,0.25,,近似转移(海绵),0,估算,,[0821删] 原估算值0.5N(两指法向力之和(估算)),两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF030,0.25,,ExpForce同型实测(Marshmallow 1 (Large marshmallow 0.25); f_min=0.25N),0,同型实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力),[0821删] 原估算值0.5N(两指法向力之和(估算)),两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
SOF038,0.25,,近似转移(甜甜圈),0,估算,,[0821删] 原估算值0.5N(两指法向力之和(估算)),两指法向力之和,0.125,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG001,2.0,635.0,ExpForce同型实测(Diet Coke can (Red Bull 2.5/Monster 2.0/7UP 2.0/Sunkist 2.0); f_min=2.0N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | LS-DYNA/ANSYS: Sidewall Indentation and Buckling of Aluminum Beverage Cans, 635-985N; https://lsdyna.ansys.com/wp-content/uploads/attachments/session10-3.pdf",文献实测(空罐侧壁屈曲下限),两指法向力之和,1,单指法向力(侧向双板挤压),1270,F_total = 2×F_single (SAFETYVTLA默认反算)
RIG002,2.0,,"同型转移(瓶装饮料,同型)",0,近似转移,文献参照: PET瓶压缩1300N出现屈曲(数值研究); https://www.researchgate.net/publication/264187009,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG003,2.0,,近似转移(硬质瓶壶),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG004,2.0,,ExpForce同型实测(Head & Shoulders shampoo bottle; f_min=2.0N),0,同型实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力),[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG005,2.5,,ExpForce同型实测(Spam canned meat; f_min=2.5N),0,同型实测,ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力),[0821删] 原估算值5.0N(两指法向力之和(估算)),两指法向力之和,1.25,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG006,2.0,,"同型转移(食品罐,同型)",0,近似转移,ExpForce同类参照: StarKist tuna 1.5N/Tomato soup 2.5N (铁罐) | 文献参照: 空罐轴向压溃679-2400N(Wang 2024 Materials); https://pmc.ncbi.nlm.nih.gov/articles/PMC11174009/,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG007,2.0,,近似转移(铁罐),0,估算,,[0821删] 原估算值4.0N(两指法向力之和(估算)),两指法向力之和,1,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
RIG008,1.5,,ExpForce同型实测(Pringles can; f_min=1.5N),0,同型实测,"ExpForce_dataset_官方原始.csv (UT Austin; LEGATO两指爪+FORTE触觉指实测夹持力) | 文献参照: Pringles罐轴向压缩92.3N(Alibaba LifeTips 2026,弱来源,侧压未找到)",[0821删] 原估算值3.0N(两指法向力之和(估算)),两指法向力之和,0.75,未找到实测,,F_single = F_total/2 (SAFETYVTLA默认)
