image_file,leaf_class,category,l1_gate,object_id,object_family_id,mass_g,f_min_measured_N,f_max_measured_N,note
轻脆\E040\s7.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s8.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E040\s9.png,轻脆,易碎,易碎,E040,brittle_snack,,0.25,4.8,"f_min:ExpForce本物实测(0.25N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\E060\Large_brown_egg.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s1.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s10.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s11.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s12.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s13.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s14.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s2.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s3.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s4.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s5.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s6.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s7.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s8.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E060\s9.png,轻脆,易碎,易碎,E060,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\Large_white_egg.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s1.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s10.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s11.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s12.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s13.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s14.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s2.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s3.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s4.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s5.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s6.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s7.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s8.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\E061\s9.png,轻脆,易碎,易碎,E061,egg,,0.5,84,"f_min:ExpForce本物实测(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA017\s0.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s1.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s10.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s11.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s12.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s13.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s14.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s15.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s2.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s4.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s5.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s6.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s7.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s8.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA017\s9.png,轻脆,易碎,易碎,FRA017,thin_wall_metal,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s0.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s1.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s10.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s11.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s12.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s13.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s14.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s2.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s3.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s4.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s5.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s6.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s7.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s8.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA018\s9.png,轻脆,易碎,易碎,FRA018,thin_wall_plastic,,,,f_min:无实测 | f_max:无实测
轻脆\FRA019\s0.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s1.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s10.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s11.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s12.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s13.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s14.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s2.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s3.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s4.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s5.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s6.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s7.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s8.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA019\s9.png,轻脆,易碎,易碎,FRA019,brittle_snack,,0.5,4.8,"f_min:同型转移(密封零食袋)(0.5N,两指合力) | f_max:文献实测2.4N(单指法向力(压头加载))×2换算=4.8N(两指合力,非直接实测)"
轻脆\FRA020\s0.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s1.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s10.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s11.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s12.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s13.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s14.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s2.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s3.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s4.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s5.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s6.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s7.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s8.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA020\s9.png,轻脆,易碎,易碎,FRA020,brittle_snack,,2.0,,"f_min:同型转移(薄脆饼干盒)(2.0N,两指合力) | f_max:无实测"
轻脆\FRA021\s0.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s1.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s10.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s11.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s12.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s13.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s14.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s2.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s3.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s4.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s5.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s6.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s7.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s8.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA021\s9.png,轻脆,易碎,易碎,FRA021,brittle_snack,,,,f_min:无实测 | f_max:无实测
轻脆\FRA024\s0.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s1.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s10.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s11.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s12.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s13.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s14.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s2.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s3.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s4.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s5.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s6.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s7.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s8.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA024\s9.png,轻脆,易碎,易碎,FRA024,egg,,0.5,84,"f_min:ExpForce同型实测(Large brown egg; f_min=0.5N)(0.5N,两指合力) | f_max:文献实测42.0N(单指法向力(平板压缩))×2换算=84N(两指合力,非直接实测)"
轻脆\FRA025\s0.png,轻脆,易碎,易碎,FRA025,egg,,0.5,,"f_min:同型转移(蛋类)(0.5N,两指合力) | f_max:无实测"
轻脆\FRA025\s1.png,轻脆,易碎,易碎,FRA025,egg,,0.5,,"f_min:同型转移(蛋类)(0.5N,两指合力) | f_max:无实测"
轻脆\FRA025\s10.png,轻脆,易碎,易碎,FRA025,egg,,0.5,,"f_min:同型转移(蛋类)(0.5N,两指合力) | f_max:无实测"
轻脆\FRA025\s11.png,轻脆,易碎,易碎,FRA025,egg,,0.5,,"f_min:同型转移(蛋类)(0.5N,两指合力) | f_max:无实测"
轻脆\FRA025\s12.png,轻脆,易碎,易碎,FRA025,egg,,0.5,,"f_min:同型转移(蛋类)(0.5N,两指合力) | f_max:无实测"
轻脆\FRA025\s13.png,轻脆,易碎,易碎,FRA025,egg,,0.5,,"f_min:同型转移(蛋类)(0.5N,两指合力) | f_max:无实测"
轻脆\FRA025\s14.png,轻脆,易碎,易碎,FRA025,egg,,0.5,,"f_min:同型转移(蛋类)(0.5N,两指合力) | f_max:无实测"
轻脆\FRA025\s2.png,轻脆,易碎,易碎,FRA025,egg,,0.5,,"f_min:同型转移(蛋类)(0.5N,两指合力) | f_max:无实测"
轻脆\FRA025\s3.png,轻脆,易碎,易碎,FRA025,egg,,0.5,,"f_min:同型转移(蛋类)(0.5N,两指合力) | f_max:无实测"
轻脆\FRA025\s4.png,轻脆,易碎,易碎,FRA025,egg,,0.5,,"f_min:同型转移(蛋类)(0.5N,两指合力) | f_max:无实测"
