object_id,object_family_id,object_name,material_class,mass_kg,dimensions_m,fragile_flag,deformable_flag,source,notes,f_min_value,f_min_unit,f_min_semantics,force_total_or_single,measurement_protocol,trial_count,trial_values,selected_value,gripper_model,sensor_model,calibration_id
SOF020,fabric,毛巾(叠好),织物,,,0,1,家里,,,,,,,,,,,,
SOF021,fabric,袜子(卷好),织物,,,0,1,家里,,,,,,,,,,,,
SOF022,fabric,T恤(叠好),织物,,,0,1,家里,,,,,,,,,,,,
SOF023,plush,毛绒玩具(小),毛绒,,,0,1,家里,,,,,,,,,,,,
SOF024,soft_daily,海绵(洗碗),聚氨酯泡沫,,,0,1,超市,,,,,,,,,,,,
SOF025,soft_daily,记忆海绵块,记忆棉,,,0,1,淘宝,,,,,,,,,,,,
SOF026,soft_daily,应力球,TPR,,,0,1,淘宝,,,,,,,,,,,,
SOF027,soft_daily,充气气球(充好),橡胶膜,,,0,1,淘宝,,,,,,,,,,,,
SOF028,soft_daily,超轻黏土(整块),黏土,,,0,1,文具,,,,,,,,,,,,
SOF029,soft_daily,空矿泉水瓶(拧盖),塑料薄壁,,,0,1,家里(喝完留瓶),易瘪可部分回弹,,,,,,,,,,,
SOF030,soft_food,棉花糖,糖/明胶,,,0,1,超市,,,,,,,,,,,,
SOF031,fruit,梨,水果,,,0,1,超市,,,,,,,,,,,,
SOF032,fruit,柿子,水果,,,0,1,超市(秋季),节令品,,,,,,,,,,,
SOF033,vegetable,茄子,蔬菜,,,0,1,超市,,,,,,,,,,,,
SOF034,vegetable,黄瓜,蔬菜,,,0,1,超市,,,,,,,,,,,,
SOF035,vegetable,生姜,蔬菜,,,0,1,超市,,,,,,,,,,,,
SOF036,vegetable,生菜(整颗),蔬菜,,,0,1,超市,,,,,,,,,,,,
SOF037,bakery,面包片,烘焙面点,,,0,1,超市,,,,,,,,,,,,
SOF038,bakery,甜甜圈,烘焙面点,,,0,1,烘焙店,,,,,,,,,,,,
SOF039,bakery,包子,主食,,,0,1,主食店,,,,,,,,,,,,
SOF040,bakery,汉堡胚,烘焙面点,,,0,1,烘焙店,,,,,,,,,,,,
SOF041,bakery,司康,烘焙面点,,,0,1,烘焙店,,,,,,,,,,,,
SOF042,fabric,毛线帽,织物,,,0,1,家里,,,,,,,,,,,,
SOF043,fabric,围巾(卷好),织物,,,0,1,家里,,,,,,,,,,,,
SOF044,fabric,手套(棉),织物,,,0,1,家里,,,,,,,,,,,,
SOF045,plush,绒球钥匙扣,毛绒,,,0,1,家里/淘宝,,,,,,,,,,,,
SOF046,fabric,布笔袋(空),织物,,,0,1,家里/文具,,,,,,,,,,,,
SOF047,fabric,抹布(叠好),织物,,,0,1,家里,,,,,,,,,,,,
SOF048,soft_daily,洗碗布,无纺布,,,0,1,超市,,,,,,,,,,,,
SOF049,soft_daily,橡胶球,橡胶,,,0,1,淘宝,,,,,,,,,,,,
SOF050,soft_daily,EVA泡沫块,EVA泡棉,,,0,1,淘宝,,,,,,,,,,,,
SOF051,soft_daily,硅胶铲,硅胶,,,0,1,家里/超市,,,,,,,,,,,,
SOF052,soft_food,果冻杯,明胶,,,0,1,超市,,,,,,,,,,,,
SOF053,soft_food,软糖(袋装),明胶,,,0,1,超市,,,,,,,,,,,,
SOF054,soft_food,奶酪块,奶酪,,,0,1,超市,,,,,,,,,,,,
SOF055,soft_food,火腿肠,肉制品,,,0,1,超市,,,,,,,,,,,,
SOF056,soft_food,鱼丸(生),鱼糜,,,0,1,超市,,,,,,,,,,,,
SOF057,soft_food,老豆腐,豆制品,,,0,1,超市,,,,,,,,,,,,
SOF058,soft_food,嫩豆腐,豆制品,,,0,1,超市,"边界:极软受力即碎,归柔性备注",,,,,,,,,,,
SOF059,soft_food,年糕块,米制品,,,0,1,超市,,,,,,,,,,,,
SOF060,soft_food,软面包棒,烘焙面点,,,0,1,烘焙店,,,,,,,,,,,,
RIG001,bottle_can,易拉罐(满),金属,,,0,0,超市,拍完可喝,,,,,,,,,,,
RIG002,bottle_can,瓶装水(满),塑料,,,0,0,超市/家里,,,,,,,,,,,,
RIG003,bottle_can,不锈钢保温杯,不锈钢,,,0,0,家里,,,,,,,,,,,,
RIG004,bottle_can,洗发水瓶(满),硬塑料,,,0,0,家里,,,,,,,,,,,,
RIG005,bottle_can,午餐肉罐头,金属,,,0,0,超市,拍完可吃,,,,,,,,,,,
RIG006,bottle_can,咖啡罐(铁),金属,,,0,0,超市,,,,,,,,,,,,
RIG007,bottle_can,茶叶铁罐,金属,,,0,0,家里/超市,,,,,,,,,,,,
RIG008,bottle_can,薯片罐(未开封),硬纸,,,0,0,超市,对齐ExpForce刚体(E002),,,,,,,,,,,
RIG009,tetra,"牛奶盒(1L,满)",复合纸,,,0,0,超市,,,,,,,,,,,,
RIG010,tool,扳手,金属,,,0,0,家里/淘宝,,,,,,,,,,,,
RIG011,tool,螺丝刀,金属,,,0,0,家里,,,,,,,,,,,,
RIG012,tool,剪刀(合拢),金属,,,0,0,家里,,,,,,,,,,,,
RIG013,tool,胶带卷,塑料/胶,,,0,0,家里/文具,,,,,,,,,,,,
RIG014,tool,订书机,塑料/金属,,,0,0,家里/文具,,,,,,,,,,,,
RIG015,electronics,手机,电子,,,0,0,家里,,,,,,,,,,,,
RIG016,electronics,充电宝,电子,,,0,0,家里,,,,,,,,,,,,
RIG017,electronics,遥控器,电子,,,0,0,家里,,,,,,,,,,,,
RIG018,electronics,鼠标,电子,,,0,0,家里,,,,,,,,,,,,
RIG019,stationery,平装书,纸,,,0,0,家里,,,,,,,,,,,,
RIG020,stationery,硬面笔记本,纸,,,0,0,家里,,,,,,,,,,,,
RIG021,stationery,魔方,塑料,,,0,0,家里/文具,,,,,,,,,,,,
RIG022,food_packaged,泡面桶(未开封),纸/塑料,,,0,0,超市,,,,,,,,,,,,
RIG023,bottle_can,可乐瓶(满),塑料,,,0,0,超市,,,,,,,,,,,,
RIG024,bottle_can,硬塑料运动壶,硬塑料,,,0,0,家里,,,,,,,,,,,,
RIG025,bottle_can,喷雾瓶,硬塑料,,,0,0,家里,,,,,,,,,,,,
RIG026,bottle_can,饼干铁盒(空),金属,,,0,0,超市(吃完留盒),,,,,,,,,,,,
RIG027,tetra,利乐果汁盒(1L),复合纸,,,0,0,超市,,,,,,,,,,,,
RIG028,tetra,豆浆盒(1L),复合纸,,,0,0,超市,,,,,,,,,,,,
RIG029,tool,锤子,金属,,,0,0,家里/淘宝,,,,,,,,,,,,
RIG030,tool,卷尺,金属/塑料,,,0,0,家里/文具,,,,,,,,,,,,
RIG031,tool,钳子,金属,,,0,0,家里,,,,,,,,,,,,
RIG032,tool,美工刀,塑料/金属,,,0,0,文具,,,,,,,,,,,,
RIG033,electronics,计算器,电子,,,0,0,家里,,,,,,,,,,,,
RIG034,electronics,闹钟,电子,,,0,0,家里,,,,,,,,,,,,
RIG035,electronics,手电筒,金属,,,0,0,家里,,,,,,,,,,,,
RIG036,electronics,车钥匙,电子,,,0,0,家里,,,,,,,,,,,,
RIG037,electronics,移动硬盘,电子,,,0,0,家里,,,,,,,,,,,,
RIG038,stationery,直尺,塑料,,,0,0,家里/文具,,,,,,,,,,,,
RIG039,stationery,胶棒,塑料,,,0,0,文具,,,,,,,,,,,,
RIG040,stationery,水彩笔(整盒),塑料,,,0,0,文具,,,,,,,,,,,,
RIG041,stationery,橡皮/镇纸,橡胶,,,0,0,文具,,,,,,,,,,,,
RIG042,stationery,卷笔刀,塑料/金属,,,0,0,文具,,,,,,,,,,,,
RIG043,daily_rigid,眼镜盒,皮革/塑料,,,0,0,家里,,,,,,,,,,,,
RIG044,daily_rigid,剃须刀,塑料/金属,,,0,0,家里,,,,,,,,,,,,
RIG045,daily_rigid,润唇膏,塑料,,,0,0,家里/超市,,,,,,,,,,,,
RIG046,daily_rigid,5号电池(两节),金属,,,0,0,超市,,,,,,,,,,,,
RIG047,daily_rigid,硬壳钱包(空),皮革,,,0,0,家里,,,,,,,,,,,,
RIG048,daily_rigid,皮带(卷好),皮革,,,0,0,家里,,,,,,,,,,,,
RIG049,daily_rigid,折叠伞(卷好),织物/金属,,,0,0,家里,,,,,,,,,,,,
RIG050,daily_rigid,"塑料收纳盒(小,硬)",硬塑料,,,0,0,家里,,,,,,,,,,,,
RIG051,daily_rigid,小哑铃(1kg),金属,,,0,0,淘宝,,,,,,,,,,,,
RIG052,daily_rigid,"保鲜盒(硬塑料,空)",硬塑料,,,0,0,家里/超市,,,,,,,,,,,,
RIG053,daily_rigid,不锈钢饭盒(空),不锈钢,,,0,0,家里,,,,,,,,,,,,
RIG054,food_packaged,硬塑料调料瓶,硬塑料,,,0,0,超市,,,,,,,,,,,,
RIG055,food_packaged,方糖盒,纸,,,0,0,超市,,,,,,,,,,,,
RIG056,food_packaged,巧克力铁盒,金属,,,0,0,超市,,,,,,,,,,,,
RIG057,food_packaged,谷物早餐盒,纸/塑料,,,0,0,超市,,,,,,,,,,,,
RIG058,food_packaged,罐装八宝粥,金属,,,0,0,超市,,,,,,,,,,,,
RIG059,food_packaged,挂耳咖啡盒,纸,,,0,0,超市,,,,,,,,,,,,
RIG060,food_packaged,奶粉罐(小),金属,,,0,0,超市,,,,,,,,,,,,
