Object,Image,Mass,Gripping Force
Diet Coke can,Diet_Coke_can.png,370.0,2.0
Pringles can (side orientation),Pringles_can_side_orientation.png,134.0,3.0
Sweet bean paste (regular),Sweet_bean_paste_regular.png,338.0,2.0
Protein shaker bottle,Protein_shaker_bottle.png,130.0,2.0
Marshmallow 2 (regular),Marshmallow_2_regular.png,4.0,0.25
Marshmallow 3 (regular),Marshmallow_3_regular.png,6.0,0.25
TV remote control,TV_remote_control.png,91.0,1.0
5V power adapter,5V_power_adapter.png,51.0,1.0
Magic tape roll,Magic_tape_roll.png,33.0,2.0
Peeler,Peeler.png,36.0,5.0
Skippy creamy peanut butter,Skippy_creamy_peanut_butter.png,508.0,1.75
Goodbye Stress gummies (42 count),Goodbye_Stress_gummies_42_count.png,150.0,0.75
Banana,Banana.png,206.0,1.0
Barbasol shaving cream (aloe),Barbasol_shaving_cream_aloe.png,279.0,1.0
Sticky lint roller,Sticky_lint_roller.png,99.0,1.25
Crest 3D White toothpaste (box),Crest_3D_White_toothpaste_box.png,127.0,2.0
Large brown egg,Large_brown_egg.png,64.0,0.5
Large white egg,Large_white_egg.png,62.0,0.5
Olly? Sleep Melatonin Gummies,Olly_Sleep_Melatonin_Gummies.png,286.0,3.0
Gatsby hair wax,Gatsby_hair_wax.png,112.0,1.25
Green pear,Green_pear.png,237.0,1.5
Large lemon,Large_lemon.png,181.0,0.75
Golden apple,Golden_apple.png,238.0,1.5
Red apple 1,Red_apple_1.png,231.0,1.5
Green apple,Green_apple.png,282.0,1.5
Red apple 2 (large),Red_apple_2_large.png,387.0,2.0
Mini bell pepper 1,Mini_bell_pepper_1.png,23.0,0.5
Mini bell pepper 2,Mini_bell_pepper_2.png,17.0,0.5
Mini bell pepper 3,Mini_bell_pepper_3.png,15.0,0.5
Strawberry 2,Strawberry_2.png,40.0,0.5
Strawberry (large),Strawberry_large.png,64.0,1.0
Mandarins,Mandarins.png,88.0,1.0
Red grape 3,Red_grape_3.png,8.0,0.5
Green grape 1,Green_grape_1.png,11.0,0.5
Green grape 2,Green_grape_2.png,15.0,0.5
Green grape 3,Green_grape_3.png,8.0,0.5
Red grape tomato 1,Red_grape_tomato_1.png,18.0,0.5
Red grape tomato 2,Red_grape_tomato_2.png,11.0,0.5
Green grape tomato 1,Green_grape_tomato_1.png,13.0,0.5
Yellow grape tomato,Yellow_grape_tomato.png,10.0,0.5
Green grape tomato 2,Green_grape_tomato_2.png,11.0,0.5
Green grape tomato 3,Green_grape_tomato_3.png,11.0,0.5
Blueberry,Blueberry.png,1.0,0.25
Raspberry,Raspberry.png,4.0,0.25
Blackberry 1,Blackberry_1.png,5.0,0.25
Sunkist Orange soda (zero),Sunkist_Orange_soda_zero.png,370.0,2.0
Muffin mix box,Muffin_mix_box.png,612.0,2.0
Cheez-It crackers box,Cheez-It_crackers_box.png,236.0,2.0
CeraVe Moisturizing Lotion,CeraVe_Moisturizing_Lotion.png,395.0,2.25
Yellow mustard bottle,Yellow_mustard_bottle.png,439.0,3.25
H-E-B Pink Salt refill,H-E-B_Pink_Salt_refill.png,423.0,2.5
Tomato soup can,Tomato_soup_can.png,349.0,2.5
H-E-B Vitamins Melatonin 5 mg Gummies - Strawberry,H-E-B_Vitamins_Melatonin_5_mg_Gummies_-_Strawberry.png,394.0,1.5
Nutella jar,Nutella_jar.png,416.0,2.0
Morton salt container,Morton_salt_container.png,794.0,4.5
Monster Energy drink,Monster_Energy_drink.png,511.0,2.0
StarKist tuna can,StarKist_tuna_can.png,175.0,1.5
Duct tape roll,Duct_tape_roll.png,123.0,1.0
Red apple 3,Red_apple_3.png,220.0,2.0
Orange 2,Orange_2.png,273.0,2.0
OxiClean container (12 oz),OxiClean_container_12_oz.png,413.0,3.0
Clorox toilet bleach cleaner bottle,Clorox_toilet_bleach_cleaner_bottle.png,801.0,3.25
OxiClean stain remover (21.5 oz),OxiClean_stain_remover_21.5_oz.png,733.0,5.0
Head & Shoulders shampoo bottle,Head_and_Shoulders_shampoo_bottle.png,431.0,2.0
Glass Coca-Cola bottle,Glass_Coca-Cola_bottle.png,635.0,2.5
Small bean paste tub,Small_bean_paste_tub.png,337.0,2.0
Pocky snack box (Short-edge orientation),Pocky_snack_box_Short-edge_orientation.png,89.0,1.0
Granulated sugar (32 oz),Granulated_sugar_32_oz.png,961.0,3.5
Little Debbie Swiss Rolls box,Little_Debbie_Swiss_Rolls_box.png,641.0,2.0
Toothpaste box,Toothpaste_box.png,133.0,1.5
Red plastic cup,Red_plastic_cup.png,14.0,0.25
Plastic shot cup (2 oz),Plastic_shot_cup_2_oz.png,2.0,0.25
Glass tumbler,Glass_tumbler.png,286.0,1.5
Margarita glass,Margarita_glass.png,274.0,1.0
Champagne glass,Champagne_glass.png,204.0,1.0
Wine glass,Wine_glass.png,245.0,1.0
Ceramic mug,Ceramic_mug.png,424.0,1.5
Plastic mug,Plastic_mug.png,83.0,1.0
Large marshmallow,Large_marshmallow.png,21.0,0.25
Sweet bean paste (28oz),Sweet_bean_paste_28oz.png,869.0,3.5
OnePlus Phone Charger Adapter,OnePlus_Phone_Charger_Adapter.png,70.0,1.5
Generic Phone Charger Adapter,Generic_Phone_Charger_Adapter.png,30.0,1.0
Apple MacBook Power Adapter,Apple_MacBook_Power_Adapter.png,280.0,1.75
Generic AC Power Adapter,Generic_AC_Power_Adapter.png,305.0,2.5
Umbrella (Folded),Umbrella_Folded.png,225.0,1.5
Handheld Power Drill,Handheld_Power_Drill.png,1384.0,7.0
